,app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
11,Yes,BS BIOLOGY,2nd Degree,UP VISAYAS,No,no,ATENEO DE MANILA UNIVERSITY,,,,evc
12,Yes,BS CLOTHING TECHNOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
13,No,,,,,,,,,,evc
14,Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,yes,,,,,evc
15,DPWAS,,,,,,,,,UP DILIMAN,evc
16,Yes,BS Biology,1st Degree,UP VISAYAS,No,no,Visayas State University,,,,evc
17,Yes,BS INDUSTRIAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
18,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,,,,,evc
19,DPWAS,,,,,,,,,UP LOS BANOS,evc
20,Waitlisted,,,,,,,BS BIOLOGY,UP VISAYAS,,evc
21,No,,,,,,,,,,evc
22,Waitlisted,,,,,,,BS PUBLIC HEALTH,UP MANILA,,evc
23,No,,,,,,,,,,evc
24,Yes,BS CHEMISTRY,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,evc
25,DPWAS,,,,,,,,,UP DILIMAN,evc
26,Yes,BS COMPUTER SCIENCE,1st Degree,UP VISAYAS,No,no,DE LA SALLE UNIVERSITY,,,,evc
27,Yes,BS PSYCHOLOGY,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,evc
28,DPWAS,,,,,,,,,UP DILIMAN,evc
29,DPWAS,,,,,,,,,UP DILIMAN,evc
30,Yes,BS MECHANICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
31,No,,,,,,,,,,evc
32,Yes,BS OCCUPATIONAL THERAPY,3rd Degree,UP MANILA,Yes,no,,,,,evc
33,Yes,BS FOOD TECHNOLOGY,1st Degree,UP VISAYAS,No,yes,,,,,evc
34,Yes,BS PHARMACEUTICAL SCIENCES ,2nd Degree,UP MANILA,Yes,yes,,,,,evc
35,Yes,BS AGRICULTURAL CHEMISTRY,2nd Degree,UP LOS BANOS,No,no,ATENEO DE MANILA UNIVERSITY,,,,evc
36,Yes,BS COMPUTER SCIENCE,2nd Degree,UP VISAYAS,No,no,DE LA SALLE UNIVERSITY,,,,evc
37,Yes,BS METALLURGICAL ENGINEERING,4th Degree,UP DILIMAN,Yes,yes,,,,,evc
38,Yes,BS BIOLOGY,1st Degree,UP VISAYAS,No,not sure,,,,,evc
39,No,,,,,,,,,,evc
40,Yes,BS COMPUTER ENGINEERING,4th Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,evc
41,No,,,,,,,,,,evc
42,Yes,BS COMPUTER ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
43,DPWAS,,,,,,,,,UP DILIMAN,evc
44,Yes,BS BIOLOGY,1st Degree,UP VISAYAS,No,not sure,DE LA SALLE UNIVERSITY,,,,evc
45,Yes,BS FOOD TECHNOLOGY,2nd Degree,UP VISAYAS,No,yes,,,,,evc
46,Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,DE LA SALLE UNIVERSITY,,,,evc
47,Yes,BS CIVIL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
48,DPWAS,,,,,,,,,UP MANILA,evc
49,Yes,BS BIOLOGY,4th Degree,UP MANILA,Yes,no,,,,,evc
50,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
51,DPWAS,,,,,,,,,UP DILIMAN,evc
52,Yes,BS BIOLOGY,5th Degree,UP VISAYAS,No,not sure,,,,,evc
53,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
54,No,,,,,,,,,,evc
0,No,,,,,,,,,,carc
1,DPWAS,,,,,,,,,UP BAGUIO,carc
2,No,,,,,,,,,,carc
3,No,,,,,,,,,,carc
4,Yes,BS GEOLOGY,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
5,Yes,BS HOME ECONOMICS,3rd Degree,UP DILIMAN,Yes,yes,,,,,carc
6,Yes,BS HUMAN ECOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,carc
7,Yes,BS COMPUTER SCIENCE,1st Degree,UP BAGUIO,Yes,yes,,,,,carc
8,Yes,BS CHEMISTRY,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
9,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
10,Yes,BS COMPUTER ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
11,No,,,,,,,,,,carc
12,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,carc
13,No,,,,,,,,,,carc
14,No,,,,,,,,,,carc
15,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,ATENEO DE MANILA UNIVERSITY,,,,carc
16,No,,,,,,,,,,carc
17,DPWAS,,,,,,,,,UP DILIMAN,carc
18,No,,,,,,,,,,carc
19,Yes,BA POLITICAL SCIENCE,3rd Degree,UP DILIMAN,Yes,yes,,,,,carc
20,Yes,BS METALLURGICAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,yes,,,,,carc
21,DPWAS,,,,,,,,,UP MANILA,carc
